index,State,Abbreviation,Average Daylight Hours,Binge Drinking Rate (%),Median Drinks per Binge,Top 25% Drinks per Binge,Median Binges per Month,Top 25% Binges per Month,Annual Deaths,Death Rate Increase (%),"Deaths per 10,000 Adults",Male Death Percentage (%),Chronic Death Percentage (%),Over 35 Death Percentage (%),Under 21 Death Percentage (%),Years of Life Lost,Economic Cost ($),Cost per Drink ($),city,country,description,location,state,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video Evidence,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Daylight Duration,Haunted Places Date,Year,Deaths Caused by Drugs,Population,Crude Death Rate,phase,diameter,distance,distance_nearest_pow,church_count_2km,most_common_religion,entities_detected,TIME,PERSON,PRODUCT,NORP,CARDINAL,DATE,ORDINAL,MONEY,WORK_OF_ART,ORG,GPE,EVENT,FAC,QUANTITY,LOC,LAW,PERCENT,LANGUAGE,Generated Prompt,geoparser_data,Image Name,Caption,Extracted Captions,Fuzzy Avg Similarity,Semantic Avg Similarity,Classnames,ImagePath
0,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Adamsville,United States,The ghost of a young man has been seen by several in the band and choir wing of the school. He appears at any hour and then vanishes just as quickly.,Bottenfield Middle School,Alabama,AL,-86.9333123,33.5945201,-86.9561059,33.6009389,False,True,3,unknown,Male Ghost,supernatural,13:23,8/16/14,2014,723,4849377,14.9091,66.0,1895.2,378175,1311.5987545655255,1.0,christian,"[('any hour', 'TIME')]",any hour,,,,,,,,,,,,,,,,,,"Male floating figure appearing at  a haunted Bottenfield Middle School, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_0.png,"{""captions"": [{""confidence"": 0.00022124744067590225, ""sentence"": ""a black and white photo of a man and a woman .""}, {""confidence"": 0.00019370967275999547, ""sentence"": ""a black and white photo of a man in a suit""}, {""confidence"": 0.00017922558466301487, ""sentence"": ""a black and white photo of a man in a suit .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 29, ""captioning"": 1034, ""units"": ""ms""}}","['a black and white photo of a man and a woman .', 'a black and white photo of a man in a suit', 'a black and white photo of a man in a suit .']",34.33,0.5523,"military uniform, prison, prison house, suit, suit of clothes, bow tie, bow-tie, bowtie",Generated Image no description 3/image_0.png
20,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Attalla,United States,Some people say that a school bus full a kids fell of the bridge and went into the lake for years people say that if you go there at night just put your front wheels on the bridge on the right side of the bridge and then put your car into neutral the children of the school bus accident will push you across so that you don't fall off.,Atalla Wood Bridge,Alabama,AL,-86.1161661,33.9832721,-86.0885852,34.0217639,False,False,5,night,Unknown,accident with casualty,9:57,1/1/25,2025,Unknown,Unknown,Unknown,4.48,1891.4,378945,448.9952521072789,1.0,christian,"[('years', 'DATE'), ('night', 'TIME')]",night,,,,,years,,,,,,,,,,,,," a haunted Atalla Wood Bridge at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_20.png,"{""captions"": [{""confidence"": 0.0026278278424572907, ""sentence"": ""a train traveling over a bridge over a river .""}, {""confidence"": 0.0019506257850273048, ""sentence"": ""a train crossing a bridge over a river .""}, {""confidence"": 0.000523829555357473, ""sentence"": ""a train crossing a bridge over a river""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 23, ""captioning"": 1012, ""units"": ""ms""}}","['a train traveling over a bridge over a river .', 'a train crossing a bridge over a river .', 'a train crossing a bridge over a river']",19.33,0.6993,"pier, suspension bridge, steel arch bridge, viaduct",Generated Image no description 3/image_20.png
40,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Camax,United States,"This is a very old bridge with one lane and steel overhead, located on the Country Club road north of Jasper, Al. It has been haunted by the ghost of Moon Mullins for years. She died on the bridge under strange circumstances over 75 years ago. Since her death, several people over the years have reported hearing strange noises and seeing apparitions on the bridge, as well as the nearby Black Water Creek banks.",Mill Bridge,Alabama,AL,-88.1266681,30.6704936,-86.829447,33.359879,True,True,3,night,Multiple Ghosts,accident with casualty,11:14,10/22/49,1949,Unknown,Unknown,Unknown,21.76,1945.1,368482,1452.477758139082,4.0,christian,"[('one', 'CARDINAL'), ('Country Club', 'ORG'), ('Jasper', 'GPE'), ('Moon Mullins', 'PERSON'), ('years', 'DATE'), ('75 years ago', 'DATE'), ('the years', 'DATE'), ('Black Water Creek', 'FAC')]",,Moon Mullins,,,one,"years, 75 years ago, the years",,,,Country Club,Jasper,,Black Water Creek,,,,,,"Multiple floating figures appearing at  a haunted Mill Bridge at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'Half Moon Bay': {'Latitude': '37.46355', 'Longitude': '-122.42859'}, 'Black Water Creek': {'Latitude': '28.86249', 'Longitude': '-81.38034'}}",image_40.png,"{""captions"": [{""confidence"": 0.00029865631845319075, ""sentence"": ""a man standing on a beach holding a surfboard .""}, {""confidence"": 1.80332535734876e-05, ""sentence"": ""a man standing on a beach holding a surfboard""}, {""confidence"": 9.212760648756776e-06, ""sentence"": ""a man in a suit and tie standing on a beach .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 995, ""units"": ""ms""}}","['a man standing on a beach holding a surfboard .', 'a man standing on a beach holding a surfboard', 'a man in a suit and tie standing on a beach .']",17.67,0.5023,"suit, suit of clothes, groom, bridegroom, lakeside, lakeshore, cloak, trench coat",Generated Image no description 3/image_40.png
80,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Gadsden,United States,"At night you can hear banging and see black shadows. You can also see people in the backyard of the hospital at night, but no one is there. There have also been odd things seen by some of the patients and staff.",Mountain View Hospital,Alabama,AL,-86.019713,34.0723788,-86.0066386,34.014264,True,True,6,night,Spooky Sounds,unknown,9:56,1/1/25,2025,Unknown,Unknown,Unknown,4.48,1891.4,378945,1114.227441248543,2.0,christian,"[('night', 'TIME')]",night,,,,,,,,,,,,,,,,,,"Spooky Sounds appearing at  a haunted Mountain View Hospital at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_80.png,"{""captions"": [{""confidence"": 1.995760242158857e-05, ""sentence"": ""a large building with a clock tower on top .""}, {""confidence"": 1.8080958272004834e-05, ""sentence"": ""a large building with a clock tower in the middle .""}, {""confidence"": 1.4838382125975093e-05, ""sentence"": ""a large building with a clock on the top of it .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 33, ""captioning"": 1110, ""units"": ""ms""}}","['a large building with a clock tower on top .', 'a large building with a clock tower in the middle .', 'a large building with a clock on the top of it .']",28.33,0.6039,"barn, church, church building, palace, prison, prison house",Generated Image no description 3/image_80.png
100,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Huntsville,United States,"There’s a set of big black gates that stands about a mile from the bottom of the mountain that guards some huge mansion. If you sit in front of the gates for a little while, a car will come down the mountain and chase you until you get to the bottom. When you do, the car will suddenly vanish...its no myth.",Hell's Gates (Green Mountain),Alabama,AL,-85.7902194,33.6065088,-86.5861037,34.7303688,False,True,5,night,Unknown,unknown,9:59,1/1/25,2025,Unknown,Unknown,Unknown,4.48,1891.4,378945,2256.569036,,,"[('about a mile', 'QUANTITY')]",,,,,,,,,,,,,,about a mile,,,,," a haunted Hell's Gates (Green Mountain) at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_100.png,"{""captions"": [{""confidence"": 5.021466436269213e-05, ""sentence"": ""a large body of water with trees in the background""}, {""confidence"": 2.5501292681787584e-05, ""sentence"": ""a large body of water with trees in the background .""}, {""confidence"": 2.1423782093043846e-05, ""sentence"": ""a large body of water with a bridge in the background .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 24, ""captioning"": 1080, ""units"": ""ms""}}","['a large body of water with trees in the background', 'a large body of water with trees in the background .', 'a large body of water with a bridge in the background .']",23.33,0.5779,"church, church building, viaduct, castle, suspension bridge, vault",Generated Image no description 3/image_100.png
120,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Livingston,United States,"A figure can be seen standing in the windows, as well as strangeness related to cold feelings and a black and white cat.",Covered Bridge,Alabama,AL,-88.1858406,32.5937604,-88.1872475,32.5843025,False,True,5,unknown,Unknown,unknown,10:04,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,774.8290415,2.0,christian,[],,,,,,,,,,,,,,,,,,," a haunted Covered Bridge, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_120.png,"{""captions"": [{""confidence"": 4.527105642633564e-05, ""sentence"": ""a black and white photo of a bench and a building""}, {""confidence"": 3.0225101201879887e-05, ""sentence"": ""a black and white photo of a bench in a park .""}, {""confidence"": 2.5069755630007912e-05, ""sentence"": ""a black and white photo of a bench and a tree""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 1014, ""units"": ""ms""}}","['a black and white photo of a bench and a building', 'a black and white photo of a bench in a park .', 'a black and white photo of a bench and a tree']",36.33,0.6482,"boathouse, picket fence, paling, worm fence, snake fence, snake-rail fence, Virginia fence, church, church building, barn",Generated Image no description 3/image_120.png
140,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Montevallo,United States,"Has several haunts. It is said to have a tunnel running under the entire campus. They were used in the civil war, and are now used as steam chassis. The theatre department in Reynolds was a civil war hospital. There was a massacre and many of the rooms were stacked with bodies. On the forth floor of Main, (one of the girls dorms) a girl burned to death while trying to cook fudge on a Bunsen burner. They have replaced the door several times, but her image is burned in the door every time the door is replaced. There are also a lot of odd occurrences as well as several ghosts that frequent the campus of Montevallo.",University of Montevallo,Alabama,AL,-86.8654168,33.1067187,-86.8641558,33.1006746,False,True,3,unknown,Multiple Ghosts,fire,10:01,01/01/1861,1861,Unknown,Unknown,Unknown,12.35,1889.5,379317,1394.3284466327543,2.0,christian,"[('Reynolds', 'ORG'), ('Main', 'ORG'), ('Bunsen', 'ORG'), ('Montevallo', 'ORG')]",,,,,,,,,,"Reynolds, Main, Bunsen, Montevallo",,,,,,,,,"Multiple floating figures appearing at  a haunted University of Montevallo, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_140.png,"{""captions"": [{""confidence"": 0.0009203568255391089, ""sentence"": ""a black and white photo of a city street""}, {""confidence"": 9.785991408495156e-05, ""sentence"": ""a black and white photo of a building with a clock .""}, {""confidence"": 8.926572113219033e-05, ""sentence"": ""a black and white photo of a building with a clock tower .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 27, ""captioning"": 1001, ""units"": ""ms""}}","['a black and white photo of a city street', 'a black and white photo of a building with a clock .', 'a black and white photo of a building with a clock tower .']",13.67,0.6256,"church, church building",Generated Image no description 3/image_140.png
160,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Northport,United States,"Writings on the walls, strange noises, and cold spots are some of the phenomena that occur in this old mental institution. - September Update: Upon entering this old institution, there are strange feelings of presences watching you. Throughout the entire building(3 floors and a basement)there are writings on the walls, and lots of graffiti. It was recently burned on the first and second floors, but not severe. Reports of telephones ringing, furniture being moved, footsteps heard in the hallways, and cold and hot spots throughout. You just get an odd an eerie feeling in the building. There is no need for any high tech equipment here. You can feel everything you need to know. Patrolled on Halloween and sometimes during the week. You could be caught for trespassing.",Old Bryce Hospital,Alabama,AL,-87.631313,33.2283,-87.5772293,33.229007,True,True,5,unknown,Spooky Sounds,fire,10:00,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,661.6551779058084,2.0,christian,"[('basement)there', 'GPE'), ('first', 'ORDINAL'), ('second', 'ORDINAL'), ('Halloween', 'DATE'), ('the week', 'DATE')]",,,,,,"Halloween, the week","first, second",,,,basement)there,,,,,,,,"Spooky Sounds appearing at  a haunted Old Bryce Hospital, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_160.png,"{""captions"": [{""confidence"": 0.0015480609815808747, ""sentence"": ""a black and white photo of a train station .""}, {""confidence"": 0.001179151658566501, ""sentence"": ""a black and white photo of a train station""}, {""confidence"": 0.0007015235571013935, ""sentence"": ""a black and white photo of a train""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 25, ""captioning"": 1208, ""units"": ""ms""}}","['a black and white photo of a train station .', 'a black and white photo of a train station', 'a black and white photo of a train']",9.33,0.6,"prison, prison house",Generated Image no description 3/image_160.png
200,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,Tallapoosa,United States,"On Prospect Road Off of Hwy 49 - It's an old church and cemetery. You can feel the presence of something near you, even though you are alone. Sometimes in the upper front window you can see a misty substance in the form of a body. You can feel what's left of the floor vibrate. The tombstones are interesting also.",Harper Hill,Alabama,AL,-85.7678548,32.5956237,-85.8486236,32.9201244,False,True,5,unknown,Unknown,unknown,10:04,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,2603.184982368062,,,"[('49', 'CARDINAL')]",,,,,49,,,,,,,,,,,,,," a haunted Harper Hill, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_200.png,"{""captions"": [{""confidence"": 0.00025678678748835047, ""sentence"": ""a red fire hydrant sitting in the middle of a forest .""}, {""confidence"": 0.00011735659707446457, ""sentence"": ""a red fire hydrant in the middle of a forest .""}, {""confidence"": 0.00010541031177486583, ""sentence"": ""a red fire hydrant sitting in the middle of a field .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 991, ""units"": ""ms""}}","['a red fire hydrant sitting in the middle of a forest .', 'a red fire hydrant in the middle of a forest .', 'a red fire hydrant sitting in the middle of a field .']",24.33,0.6021,"park bench, barn, church, church building, lakeside, lakeshore, worm fence, snake fence, snake-rail fence, Virginia fence",Generated Image no description 3/image_200.png
220,Alabama,AL,11.22,13.6,5.5,7.2,1.7,4.0,2208,44.8,5.65,71.5,49.8,79.9,71.5,59606.0,3.724,3.06,White Plains,United States,This girl scout camp is known for the legend of the one-armed girl scout who goes door-to-door every year during the week of Halloween.,Camp Cottaquilla,Alabama,AL,-85.7155,33.7622,-85.6891289,33.7473247,False,False,0,unknown,Unknown,unknown,9:58,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,2705.984612960944,,,"[('one', 'CARDINAL'), ('every year', 'DATE'), ('the week of Halloween', 'DATE')]",,,,,one,"every year, the week of Halloween",,,,,,,,,,,,," a haunted Camp Cottaquilla, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'McKillop No. 220': {'Latitude': '51.00008', 'Longitude': '-105.00114'}}",image_220.png,"{""captions"": [{""confidence"": 0.0006547676795652287, ""sentence"": ""a wooden bench sitting in the middle of a forest .""}, {""confidence"": 0.00013841337264958726, ""sentence"": ""a wooden bench sitting in the middle of a field .""}, {""confidence"": 0.00010771924431443494, ""sentence"": ""a wooden bench sitting in the middle of a lush green forest .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 24, ""captioning"": 1002, ""units"": ""ms""}}","['a wooden bench sitting in the middle of a forest .', 'a wooden bench sitting in the middle of a field .', 'a wooden bench sitting in the middle of a lush green forest .']",34.33,0.5454,"apiary, bee house, thatch, thatched roof",Generated Image no description 3/image_220.png
