text	size
ghost	96
young	56
man	104
seen	178
several	51
band	10
choir	1
wing	6
school	95
appears	16
hour	6
vanishes	6
quickly	2
people	177
say	50
bus	4
full	8
kids	18
fell	26
bridge	53
went	29
lake	16
years	74
night	129
put	14
front	32
wheels	3
right	29
side	37
car	66
neutral	4
children	44
accident	11
push	9
across	23
don	9
fall	6
old	120
lane	3
steel	1
overhead	1
located	20
country	3
club	3
road	109
north	9
jasper	1
haunted	109
moon	12
mullins	1
died	87
strange	69
circumstances	1
ago	38
death	29
reported	73
hearing	18
noises	34
seeing	32
apparitions	27
well	35
nearby	7
black	21
water	23
creek	16
banks	1
cemetery	84
around	109
00pm	3
sometimes	37
hear	102
laughing	9
shadowy	4
figure	26
roaming	11
park	43
midnight	21
3am	2
confederate	7
solider	1
walking	62
stay	4
long	25
enough	11
ask	4
gun	5
banging	10
shadows	19
backyard	1
hospital	18
odd	11
things	44
patients	10
staff	9
set	7
big	12
gates	7
stands	9
mile	13
bottom	10
mountain	3
guards	5
huge	5
mansion	14
sit	9
little	60
come	29
chase	4
suddenly	6
vanish	2
myth	2
standing	25
windows	25
strangeness	1
related	1
cold	54
feelings	24
white	42
cat	6
haunts	31
tunnel	6
running	35
entire	9
campus	10
used	49
civil	17
war	22
now	57
steam	2
chassis	1
theatre	21
department	5
reynolds	1
massacre	1
many	103
rooms	34
stacked	2
bodies	7
forth	4
floor	95
main	11
girls	19
dorms	2
girl	75
burned	20
trying	18
cook	1
fudge	1
bunsen	1
burner	1
replaced	3
door	40
times	35
image	4
every	23
time	55
lot	18
occurrences	12
ghosts	40
frequent	2
montevallo	1
writings	2
walls	15
spots	30
phenomena	3
occur	3
mental	5
institution	3
september	5
update	37
upon	12
entering	4
presences	3
watching	13
throughout	12
building	104
floors	7
basement	43
lots	4
graffiti	1
recently	5
first	21
second	24
severe	1
reports	50
telephones	2
ringing	1
furniture	8
moved	17
footsteps	38
heard	76
hallways	9
hot	6
eerie	7
feeling	39
need	4
high	23
tech	2
equipment	3
feel	30
everything	2
know	13
patrolled	1
halloween	4
week	4
caught	8
trespassing	6
oakey	1
streak	1
late	41
hours	15
1am	1
stand	7
gate	10
questions	1
someone	36
towards	7
answer	2
tell	4
leave	13
woman	61
scream	6
bloody	5
murder	4
entrance	7
drive	25
turn	39
headlights	4
ghostly	19
walk	41
behind	32
graveyard	10
prospect	2
hwy	7
church	23
presence	23
something	22
near	44
though	19
alone	21
upper	5
window	30
misty	2
substance	1
form	1
body	17
left	32
vibrate	1
tombstones	4
interesting	2
scout	2
camp	3
known	37
legend	14
armed	1
goes	18
year	17
start	12
birch	1
hill	38
numerous	14
looks	11
glowing	10
balls	4
sky	3
cast	1
streaks	1
bright	3
light	28
everywhere	2
winter	4
months	3
7pm	2
later	23
built	39
1931	2
art	2
deco	1
masterpiece	1
home	21
trapped	2
spirits	29
top	24
houses	12
cochise	1
county	10
jail	9
heavy	4
energies	1
smells	4
often	20
detected	1
division	1
judge	5
chambers	1
site	22
fleeting	1
scent	1
cigar	1
smoke	3
security	6
officers	1
opening	19
early	27
mornings	1
voices	25
slamming	9
doors	44
apparently	3
headless	4
apparition	19
robe	3
floating	13
2nd	6
lobby	3
believed	23
possibly	6
spirit	32
john	4
wilson	4
ross	1
served	2
bench	1
1943	1
paranormal	8
events	9
recorded	2
rest	4
mostly	11
employees	20
work	13
daily	2
halls	27
faucets	5
lock	6
keys	2
anymore	4
ring	3
office	19
locked	12
offices	5
upstairs	22
unplugged	1
disembodied	2
objects	13
location	12
another	24
middle	16
shaped	1
parking	5
hotel	48
marked	2
grave	23
hiding	2
patch	2
land	11
next	23
stop	17
sign	8
former	23
harvey	3
worked	8
fred	4
company	3
caped	1
along	31
pathway	1
leading	4
steps	8
tovar	3
path	5
passes	3
disappears	11
hopi	1
house	92
although	5
visitors	9
unaware	1
1900	10
third	20
holidays	1
invites	1
annual	1
christmas	2
gathering	1
held	4
kitchen	15
wood	4
carving	1
lady	19
women	17
restroom	8
turns	4
servers	1
names	4
called	23
station	6
downstairs	11
hallway	18
track	9
lighting	5
blown	1
step	3
going	31
may	10
2008	11
updates	1
statue	8
removed	8
restrooms	3
motion	2
censored	1
vent	1
directly	6
head	18
lower	5
level	2
bursting	1
electrical	4
problem	3
wiring	2
statement	1
management	3
traveling	4
alley	2
chased	5
lights	58
hit	10
pounding	2
hands	7
tops	2
july	5
2005	9
scrutiny	1
absolute	1
please	6
email	2
places	8
12am	1
rocks	4
sand	2
mysteriously	12
thrown	7
screams	16
dressed	13
prairie	2
clothes	3
wearing	9
apron	1
wanders	2
area	51
chicken	2
coop	1
horse	9
corral	1
fever	1
laugh	1
tree	20
younger	1
talked	1
name	26
lillian	2
worker	8
experienced	6
unsettling	1
dates	3
back	92
1940	7
holds	3
secrets	1
older	10
hall	41
unit	1
450	1
child	28
run	22
wall	8
various	9
shifts	1
locations	1
female	7
workers	13
hair	6
pulling	1
whispering	5
ears	2
chairs	6
roll	2
owner	18
museum	10
open	29
public	3
poltergeists	1
corner	10
eye	7
drop	2
rock	8
baby	15
cry	6
mother	10
story	35
told	10
drawing	1
sat	2
edge	7
drowned	9
auditorium	26
mumbling	1
catwalk	3
images	7
past	12
inside	23
factory	4
janitor	14
saw	17
boy	59
indian	19
stairs	28
vanished	1
power	2
truck	5
driver	3
screamed	2
staring	5
face	24
turned	16
disappeared	10
battlegrounds	1
pea	1
ridge	1
hauntings	11
much	10
gettysburg	1
strong	8
stormy	2
nights	16
storm	3
swinging	4
lantern	3
crosses	1
end	11
field	9
wealthy	1
family	25
lived	16
father	6
received	1
warning	5
bushwhackers	2
territory	2
took	11
gold	2
buried	26
woods	41
returned	4
killed	48
wife	16
knew	2
greed	1
doomed	1
repeat	1
mistake	1
forever	3
rebury	1
popular	2
torn	11
100	11
city	20
place	56
different	13
stories	23
coffee	5
shop	2
gangs	2
came	14
shot	12
others	15
made	12
alot	3
became	2
appeared	6
kicked	1
sitting	19
bar	13
constantly	1
looking	20
shoulders	1
peripheral	2
vision	2
report	17
uneasy	4
cleaning	2
darkness	2
seems	19
dark	26
normal	4
spotted	10
seats	4
number	7
appear	16
projection	6
booths	1
especially	6
booth	7
theater	12
sweet	1
smell	10
perfume	2
roseland	1
air	6
business	4
unexplainable	7
seeming	1
nowhere	3
locals	8
credit	1
existence	1
fatalities	2
occurred	5
airport	3
bishop	1
namesake	1
bldg	2
evening	5
deserted	3
mainframe	2
room	109
two	32
duty	3
confirmed	2
sounds	29
men	12
adjacent	1
found	32
occasion	5
suspected	3
either	8
three	12
previous	4
terrible	2
disease	2
suicides	1
cause	6
1897	2
trail	6
derailment	1
vallejo	2
welcomed	2
royals	1
england	3
train	18
ride	13
napa	2
valley	4
derailed	1
princess	2
margaret	3
marie	1
elena	1
instantly	4
passengers	2
accompanied	4
traveled	5
servants	2
princesses	1
santa	2
clara	1
hide	4
feels	6
holding	7
chill	4
mist	2
covers	1
marilyn	1
monroe	1
hovering	1
tomb	2
personnel	1
watched	21
followed	5
procedures	1
evp	2
buildings	18
outside	16
includes	3
seventeen	2
asked	5
kenny	2
david	1
jeremy	1
tape	2
felt	26
closet	2
question	2
hidden	2
3rd	14
roof	5
rumor	14
murdered	27
jealous	1
lover	5
stabbed	1
opened	10
activity	4
occurs	2
theatres	1
always	16
eerily	1
heaters	1
shadow	7
movies	2
moves	4
mary	8
morse	1
carriage	5
haunting	10
residence	6
ethal	1
moore	1
info	5
artsfusion	1
millsghosts	1
html	1
longer	8
explanation	4
male	9
teens	2
tragic	2
tracks	19
hostile	1
knowledge	1
distinct	3
incident	4
entity	2
whispered	1
rushes	1
describe	2
ages	1
garments	1
territorial	1
resides	1
small	28
gap	3
moveable	1
dumpster	4
generally	1
stays	1
stationary	1
space	1
disturbed	1
tends	1
show	7
dislike	1
lid	2
witness	8
completely	4
pen	1
folded	3
backs	3
slammed	3
closed	21
incredible	1
force	6
absolutely	1
wind	6
besides	1
whoever	1
take	17
kindly	1
strangers	1
spot	18
cashier	1
crying	19
movie	4
opera	1
yet	7
mystery	1
phoenix	1
history	9
anyway	2
today	10
hangout	1
bands	1
play	10
weird	10
balcony	13
really	15
bathrooms	5
bathroom	19
unless	2
worst	1
afi	1
witnessed	9
stuff	3
want	7
check	5
awesome	1
scared	2
changing	2
swings	1
slams	3
shut	15
sudden	6
refuses	2
pull	6
april	3
empty	10
remains	4
palomares	1
believe	8
disturbances	2
size	3
plaque	2
east	10
lovely	2
bed	5
breakfast	3
private	3
ownership	1
including	3
caretaker	2
sightings	31
friendly	5
nature	1
mission	2
inn	15
semi	2
spooky	2
extremely	5
classy	1
pricey	1
guests	7
enjoy	1
modern	2
amenities	1
outdoor	1
olympic	1
sized	1
pool	7
fitness	1
center	13
catacombs	1
underneath	2
heading	2
direction	1
rubidoux	1
current	6
employee	8
remembers	1
gentleman	6
given	7
available	1
due	11
construction	5
morning	14
accommodations	1
adequate	1
replied	1
fine	1
singing	8
beautifully	1
tenant	1
millers	1
originally	6
cottage	7
sits	8
existing	1
structure	2
begun	1
completed	3
pproximately	1
1947	1
owned	12
miller	2
sold	4
son	6
frank	4
sister	3
alice	12
managed	1
40s	1
blurs	1
wondering	3
screeching	2
cries	5
sound	18
tortured	2
voice	4
saying	7
papa	1
sacramento	1
river	19
sight	8
probably	5
burial	7
ground	16
mine	2
shafts	1
blood	16
cottons	1
surfer	2
attempting	1
cross	2
railway	1
alleged	1
actually	8
saved	1
surfers	1
harms	1
way	21
general	1
lost	9
dear	1
police	14
officer	4
roams	11
golden	1
pulled	6
speeding	1
tickets	2
guy	6
file	3
courts	1
find	14
listed	4
doesn	6
exist	2
dead	16
cop	3
trailing	1
disappear	12
close	19
softly	1
almost	10
politely	1
soft	2
disturb	1
anyone	9
phone	2
calls	1
occupied	4
underground	2
attic	10
electricity	3
reason	10
thought	6
passed	5
last	15
nun	3
hung	27
pregnant	4
gym	13
use	9
nobody	4
mines	3
witch	11
life	7
nanny	1
1800	14
coal	1
mining	3
illnesses	1
accused	3
witchcraft	2
executed	1
residents	11
borax	1
pictures	10
orbs	20
documentaries	1
filmed	1
reportedly	8
birthday	1
party	3
weill	1
1882	1
norris	1
lionel	1
ethyl	1
estate	2
ranch	1
the1800	1
original	13
builder	2
sun	1
comes	3
chs	1
legends	2
student	16
involve	1
troubled	1
desperate	2
class	4
claims	1
prolonged	1
screaming	14
bleachers	3
finding	1
source	2
students	36
physically	1
pinned	1
hunting	6
davis	1
new	15
1938	2
vacated	1
wild	2
haired	2
redheaded	1
rushing	1
toward	3
stall	2
attack	5
posture	1
outstretched	2
arms	4
claw	1
person	16
menacing	1
proctor	1
dress	11
occasionally	6
offer	1
look	17
discover	1
1962	2
press	2
sick	4
daughter	10
pushed	4
presses	2
unknown	5
day	28
pants	1
witnesses	9
humming	2
kept	3
verse	1
committed	10
suicide	14
boys	8
presentation	1
haunt	11
ruins	1
surrounding	5
henry	2
fields	3
riding	4
broke	8
neck	2
visions	1
hills	3
decades	3
unidentified	1
kiask	1
sighting	5
stated	2
companion	1
driving	13
pole	2
line	3
rode	2
runs	10
wooded	6
prom	4
civic	1
breezes	1
pass	8
talking	9
legal	1
issues	1
lawyer	1
style	4
brown	4
suit	4
rugged	1
briefcase	1
latches	1
undone	1
latch	1
within	6
invisible	5
noted	3
shirt	2
eyes	8
mustache	1
applauding	2
done	8
1935	1
800	1
seat	3
1936	2
nine	3
entities	3
documented	2
august	2
1997	2
six	8
